latitude,longitude,time,co,t
62.25,143.25,2018-05-01,1.04230374e-07,263.18738
62.25,144.0,2018-05-01,1.0942359e-07,263.3827
62.25,144.75,2018-05-01,1.1746898e-07,263.92566
62.25,145.5,2018-05-01,1.2424198e-07,264.9784
62.25,146.25,2018-05-01,1.2804867e-07,266.3612
62.25,147.0,2018-05-01,1.2351893e-07,267.75574
62.25,147.75,2018-05-01,1.1882731e-07,268.88855
62.25,148.5,2018-05-01,1.1762132e-07,269.45496
62.25,149.25,2018-05-01,1.1770363e-07,269.19324
62.25,150.0,2018-05-01,1.1867042e-07,268.25378
62.25,150.75,2018-05-01,1.1955763e-07,267.3612
62.25,151.5,2018-05-01,1.2006421e-07,267.24207
62.25,152.25,2018-05-01,1.2027886e-07,267.81433
62.25,153.0,2018-05-01,1.2016653e-07,268.24988
62.25,153.75,2018-05-01,1.2016562e-07,267.98816
62.25,154.5,2018-05-01,1.2036344e-07,267.40027
62.25,155.25,2018-05-01,1.2104329e-07,267.21863
62.25,156.0,2018-05-01,1.2210103e-07,267.61902
62.25,156.75,2018-05-01,1.2438477e-07,268.2577
62.25,157.5,2018-05-01,1.2701321e-07,269.03503
62.25,158.25,2018-05-01,1.3085537e-07,270.22644
62.25,159.0,2018-05-01,1.3427871e-07,271.68738
62.25,159.75,2018-05-01,1.3234876e-07,272.52136
62.25,160.5,2018-05-01,1.3084127e-07,272.03113
62.25,161.25,2018-05-01,1.2931787e-07,270.77332
62.25,162.0,2018-05-01,1.2777764e-07,270.05847
62.25,162.75,2018-05-01,1.264525e-07,270.43152
62.25,163.5,2018-05-01,1.2502915e-07,271.11316
62.25,164.25,2018-05-01,1.2382179e-07,271.13074
62.25,165.0,2018-05-01,1.2323017e-07,270.5448
62.25,165.75,2018-05-01,1.2323517e-07,270.16785
62.25,166.5,2018-05-01,1.2312285e-07,270.3319
62.25,167.25,2018-05-01,1.2306873e-07,270.44128
62.25,168.0,2018-05-01,1.2253895e-07,269.76355
62.25,168.75,2018-05-01,1.220701e-07,268.31433
62.25,169.5,2018-05-01,1.2228566e-07,266.78113
62.25,170.25,2018-05-01,1.2202736e-07,265.84363
62.25,171.0,2018-05-01,1.213698e-07,265.787
62.25,171.75,2018-05-01,1.2103283e-07,266.54285
62.25,172.5,2018-05-01,1.2139299e-07,267.81433
62.25,173.25,2018-05-01,1.2219652e-07,269.13464
62.25,174.0,2018-05-01,1.2450937e-07,270.09753
62.25,174.75,2018-05-01,1.2601322e-07,270.65417
62.25,175.5,2018-05-01,1.2685268e-07,271.0995
62.25,176.25,2018-05-01,1.2709052e-07,271.6737
62.25,177.0,2018-05-01,1.2674855e-07,272.27332
62.25,177.75,2018-05-01,1.262697e-07,272.61902
62.25,178.5,2018-05-01,1.2585906e-07,272.66394
62.25,179.25,2018-05-01,1.2549754e-07,272.6698
62.25,180.0,2018-05-01,1.2529154e-07,272.89832
62.25,180.75,2018-05-01,1.2444798e-07,273.34363
62.25,181.5,2018-05-01,1.2359305e-07,273.77722
62.25,182.25,2018-05-01,1.2280816e-07,273.97644
62.25,183.0,2018-05-01,1.2194323e-07,273.84167
62.25,183.75,2018-05-01,1.2118744e-07,273.39636
62.25,184.5,2018-05-01,1.2047121e-07,272.74597
62.25,185.25,2018-05-01,1.2005694e-07,272.0819
62.25,186.0,2018-05-01,1.1997099e-07,271.58777
62.25,186.75,2018-05-01,1.2014198e-07,271.32214
62.25,187.5,2018-05-01,1.2077908e-07,271.203
62.25,188.25,2018-05-01,1.2163991e-07,271.13855
62.25,189.0,2018-05-01,1.2289502e-07,271.15222
62.25,189.75,2018-05-01,1.2436567e-07,271.3202
62.25,190.5,2018-05-01,1.2591681e-07,271.6151
62.25,191.25,2018-05-01,1.2755618e-07,271.8905
